freq,re,im
180,3.0692789963037,4.3456995855952
180.04400634766,3.0789537826562,4.3579092671892
180.08799743652,3.0887618144136,4.3701423484567
180.13200378418,3.0987043815331,4.3823991362331
180.17599487305,3.1087819848775,4.3946729787978
180.2200012207,3.1189957959503,4.4069645514579
180.26399230957,3.129346212305,4.4192697803352
180.30799865723,3.1398341147755,4.4315856477741
180.35198974609,3.1504594803189,4.4439092018457
180.39599609375,3.1612246095941,4.4562383979474
180.44000244141,3.1721268950527,4.4685678719265
180.48399353027,3.1831706756506,4.4808972472185
180.52799987793,3.194353992252,4.493221818608
180.5719909668,3.2056768949777,4.5055407985102
180.61599731445,3.2171402308801,4.5178492156312
180.65998840332,3.2287437842725,4.5301425345812
180.70399475098,3.2404893399024,4.5424224116286
180.74798583984,3.2523750015943,4.5546840419479
180.7919921875,3.2644017007891,4.5669201188734
180.83599853516,3.2765693572571,4.5791369168253
180.87998962402,3.2888774145621,4.5913219434535
180.92399597168,3.3013261637508,4.6034761499805
180.96798706055,3.3139157363863,4.6156008770797
181.0119934082,3.3266443493814,4.6276866473303
181.05598449707,3.3395138981667,4.6397327437555
181.09999084473,3.3525214187955,4.6517391684604
181.14398193359,3.3656687438674,4.6636987469841
181.18800354004,3.3789539926471,4.6756132595927
181.23199462891,3.3923765515928,4.6874726111347
181.27600097656,3.4059361107899,4.6992791891406
181.32000732422,3.4196323900881,4.7110330971973
181.36399841309,3.4334646067535,4.7227268330385
181.40800476074,3.4474303421247,4.7343567751444
181.45199584961,3.4615307765007,4.7459217150938
181.49600219727,3.4757632841204,4.7574206785458
181.53999328613,3.4901278055479,4.7688509747944
181.58399963379,3.5046235946194,4.7802049414354
181.62799072266,3.519249100763,4.7914833783991
181.67199707031,3.5340043432179,4.8026877530454
181.71598815918,3.5488847963864,4.8138082381022
181.75999450684,3.5638930198434,4.8248468684218
181.80400085449,3.5790250593657,4.835796794161
181.84799194336,3.5942813204618,4.846662860713
181.89199829102,3.6096597103,4.8574337908445
181.93598937988,3.6251580080251,4.8681161047412
181.97999572754,3.6407750825247,4.8786983945165
182.02398681641,3.6565098931014,4.889184363083
182.06799316406,3.6723602146556,4.899567260313
182.11198425293,3.6883249828204,4.9098507678493
182.15599060059,3.7044013972451,4.9200249837779
182.19998168945,3.7205898016549,4.9300946522838
182.24398803711,3.7368853949,4.9400565763856
182.28799438477,3.7532889160054,4.9499013377182
182.33198547363,3.7697968633645,4.9596358121067
182.37600708008,3.7864086348207,4.9692513851654
182.41999816895,3.803120558752,4.9787486186649
182.4640045166,3.8199304513643,4.9881268033372
182.50799560547,3.8368391503722,4.9973826893278
182.55200195313,3.8538405793786,5.0065133497766
182.59599304199,3.8709360091337,5.0155166505386
182.63999938965,3.8881208636287,5.0243927178477
182.68399047852,3.9053943254141,5.0331418809789
182.72799682617,3.9227522932855,5.0417586426999
182.77200317383,3.9401948185571,5.0502412563065
182.8159942627,3.9577177682215,5.0585841600678
182.86000061035,3.9753198241026,5.0667952359211
182.90399169922,3.9929976222297,5.0748692644033
182.94799804688,4.0107484169146,5.082801760847
182.99198913574,4.0285702690037,5.0905929986199
183.0359954834,4.0464606716372,5.0982444830115
183.07998657227,4.0644184659564,5.1057479728831
183.12399291992,4.0824389088399,5.1131098907795
183.16799926758,4.1005192398958,5.1203232385744
183.21199035645,4.1186591581233,5.1273909995435
183.2559967041,4.1368520930948,5.1343079229672
183.29998779297,4.1550986158283,5.1410793854519
183.34399414063,4.1733959825439,5.1476958672925
183.38798522949,4.19173900316,5.1541621772506
183.43199157715,4.2101274622674,5.1604763919192
183.47598266602,4.2285575131965,5.166637962312
183.52000427246,4.2470264883069,5.1726458720695
183.56399536133,4.2655306720187,5.1784991424363
183.60800170898,4.2840676321121,5.1841938526442
183.65200805664,4.302635732902,5.1897354972042
183.69599914551,4.3212302543935,5.195120661211
183.74000549316,4.3398495225934,5.200350322477
183.78399658203,4.3584899823801,5.2054205803836
183.82800292969,4.3771502823297,5.210336120865
183.87199401855,4.3958244710761,5.2150914785703
183.91600036621,4.4145124746331,5.2196883887623
183.95999145508,4.43320995322,5.224131279968
184.00399780273,4.4519145550994,5.2284132657879
184.0479888916,4.4706225445529,5.2325395914816
184.09199523926,4.4893321846066,5.2365041584865
184.13600158691,4.5080393968642,5.2403151780806
184.17999267578,4.5267429759744,5.2439652689319
184.22399902344,4.5454385152861,5.2474610122524
184.2679901123,4.5641221812018,5.2507984878491
184.31199645996,4.5827943945367,5.253980319401
184.35598754883,4.6014484962726,5.2570064984735
184.39999389648,4.6200836365318,5.2598755057402
184.44398498535,4.6386966367952,5.2625909987398
184.48799133301,4.6572843994324,5.2651541153146
184.53198242188,4.6758447846859,5.2675591706406
184.57598876953,4.6943746319826,5.2698166572612
184.61999511719,4.7128712844758,5.2719196525699
184.66398620605,4.7313312664637,5.2738723254463
184.7080078125,4.7497522487859,5.275676263755
184.75199890137,4.7681324713124,5.2773317635299
184.79600524902,4.7864669545367,5.2788392712112
184.83999633789,4.8047550646439,5.2802011977022
184.88400268555,4.8229946061074,5.281418755022
184.92799377441,4.8411804448019,5.2824902891604
184.97200012207,4.8593111242316,5.2834200134982
185.01599121094,4.8773862585917,5.2842121246883
185.05999755859,4.8953991921936,5.2848611961744
185.10400390625,4.913350783289,5.2853709588524
185.14799499512,4.9312378696264,5.2857470880105
185.19200134277,4.9490579601502,5.2859865909005
185.23599243164,4.9668077689209,5.286097800216
185.2799987793,4.984486351443,5.2860742018916
185.32398986816,5.002090693895,5.2859211137936
