freq,re,im
180,2.272858243577,4.4953388033821
180.04400634766,2.2893117413356,4.5095164132564
180.08799743652,2.3058691810278,4.5235841910726
180.13200378418,2.3225279138285,4.5375440539178
180.17599487305,2.3392886821934,4.5513859055689
180.2200012207,2.3561463437415,4.5651194036835
180.26399230957,2.3731015223619,4.5787326586139
180.30799865723,2.3901502352662,4.5922324543879
180.35198974609,2.407291981882,4.605611423118
180.39599609375,2.4245233972815,4.6188668537774
180.44000244141,2.4418422645954,4.6320011916113
180.48399353027,2.459248454236,4.6450139600209
180.52799987793,2.4767362583401,4.6579056841797
180.5719909668,2.494307094312,4.6706662664207
180.61599731445,2.5119552486106,4.6833000367618
180.65998840332,2.5296815872309,4.695809923775
180.70399475098,2.5474823172271,4.7081877881093
180.74798583984,2.565355471104,4.7204370287618
180.7919921875,2.5832978747547,4.7325518830267
180.83599853516,2.6013077578319,4.7445371415976
180.87998962402,2.6193836945453,4.7563908302628
180.92399597168,2.6375214014384,4.768107522575
180.96798706055,2.6557195980756,4.7796926846322
181.0119934082,2.6739757338834,4.7911407674877
181.05598449707,2.6922865217577,4.8024537468521
181.09999084473,2.7106517348816,4.8136305849127
181.14398193359,2.7290656656203,4.824672644816
181.18800354004,2.7475287775429,4.8355752346457
181.23199462891,2.766036612657,4.8463407152015
181.27600097656,2.7845891054818,4.8569694504709
181.32000732422,2.8031805953604,4.8674584217948
181.36399841309,2.821810387209,4.8778112671875
181.40800476074,2.8404767180141,4.8880240522573
181.45199584961,2.8591753853049,4.8981002041821
181.49600219727,2.8779049118544,4.9080350204957
181.53999328613,2.8966616103608,4.9178326330749
181.58399963379,2.9154450953867,4.927493766302
181.62799072266,2.9342514249532,4.9370130520744
181.67199707031,2.9530788986016,4.9463960219929
181.71598815918,2.9719246537598,4.9556427654624
181.75999450684,2.990785970805,4.9647529952969
181.80400085449,3.0096610580488,4.9737223197572
181.84799194336,3.0285465080597,4.9825578539597
181.89199829102,3.0474405512922,4.9912570565715
181.93598937988,3.0663423635473,4.9998232782579
181.97999572754,3.0852470495223,5.0082507405311
182.02398681641,3.1041534620016,5.0165454138846
182.06799316406,3.1230593662597,5.0247096170708
182.11198425293,3.1419622392718,5.0327382155131
182.15599060059,3.1608612189778,5.0406364720395
182.19998168945,3.1797503704738,5.0484046111097
182.24398803711,3.1986312223653,5.0560425976234
182.28799438477,3.2175009115192,5.06355394227
182.33198547363,3.2363559401202,5.0709354130043
182.37600708008,3.2551953422849,5.0781923606111
182.41999816895,3.2740163460083,5.0853219107299
182.4640045166,3.2928178249113,5.092325665694
182.50799560547,3.3115974623051,5.0992098378853
182.55200195313,3.3303518959826,5.1059727313988
182.59599304199,3.3490823803336,5.1126147761986
182.63999938965,3.3677829696212,5.1191377892665
182.68399047852,3.3864551930183,5.1255456517935
182.72799682617,3.4050954985518,5.1318328697142
182.77200317383,3.423703492983,5.1380095351733
182.8159942627,3.4422760689817,5.1440732235197
182.86000061035,3.4608125011365,5.1500244994229
182.90399169922,3.4793097724277,5.1558709428533
182.94799804688,3.497768154486,5.1616027177265
182.99198913574,3.5161861105212,5.1672324042279
183.0359954834,3.5345603375881,5.172759946703
183.07998657227,3.5528913870868,5.1781789695013
183.12399291992,3.5711770784245,5.1835013983391
183.16799926758,3.5894161311851,5.1887248191621
183.21199035645,3.6076068281892,5.1938518845984
183.2559967041,3.6257492705486,5.1988813109122
183.29998779297,3.6438411767848,5.2038169637503
183.34399414063,3.6618814112022,5.2086623103905
183.38798522949,3.6798702364811,5.2134219773154
183.43199157715,3.697805106294,5.2180920724022
183.47598266602,3.715684678849,5.2226765101694
183.52000427246,3.7335118485014,5.2271763492252
183.56399536133,3.7512804775613,5.231593325757
183.60800170898,3.7689938185318,5.2359340410426
183.65200805664,3.7866499668687,5.2401973851265
183.69599914551,3.8042482425341,5.2443837925674
183.74000549316,3.8217868446652,5.2484961180396
183.78399658203,3.8392676182673,5.2525399084119
183.82800292969,3.8566886404788,5.2565140962018
183.87199401855,3.8740496543158,5.2604203500431
183.91600036621,3.891350274917,5.2642627496791
183.95999145508,3.9085911831075,5.2680409742616
184.00399780273,3.9257703143334,5.2717563871812
184.0479888916,3.9428889646633,5.2754158723985
184.09199523926,3.9599466317155,5.2790195877475
184.13600158691,3.9769428120305,5.2825676946175
184.17999267578,3.9938790115581,5.2860602977122
184.22399902344,4.0107523333296,5.2895048914344
184.2679901123,4.0275663018982,5.2929015572793
184.31199645996,4.0443184067546,5.2962505609432
184.35598754883,4.0610111110833,5.2995564737754
184.39999389648,4.0776436746391,5.3028179121537
184.44398498535,4.0942149054564,5.3060387759191
184.48799133301,4.1107273542128,5.309219217922
184.53198242188,4.1271801495612,5.312366821544
184.57598876953,4.1435738932926,5.3154773517696
184.61999511719,4.1599104577274,5.318554673982
184.66398620605,4.1761886044161,5.3216007273533
184.7080078125,4.1924109858,5.3246177536729
184.75199890137,4.2085759857471,5.3276085473439
184.79600524902,4.2246853154215,5.3305708950154
184.83999633789,4.2407409468233,5.3335107793345
184.88400268555,4.2567419181202,5.3364252570197
184.92799377441,4.272689891589,5.3393232323893
184.97200012207,4.288585069629,5.3421992696309
185.01599121094,4.3044290041288,5.3450581858301
185.05999755859,4.320222161463,5.3479027899548
185.10400390625,4.335967340925,5.3507308667495
185.14799499512,4.3516634080549,5.3535465284118
185.19200134277,4.3673123343762,5.3563538126922
185.23599243164,4.3829148088153,5.3591485072277
185.2799987793,4.398473016128,5.3619342371809
185.32398986816,4.413986358475,5.3647118166116
185.36799621582,4.429458337654,5.3674865245781
